xflr5 v6.54

 Calculated polar for: NACA 0012_HW1

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.600 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.6028, 0.00981, 0.00382, 0.0075,0.9939,0.1693,-2.0439, 0.0000, 0.2565
 -4.000,-0.4590, 0.00844, 0.00305,-0.0002,0.9817,0.2999,-1.4860, 0.0000, 0.2442
 -3.000,-0.3196, 0.00732, 0.00245,-0.0062,0.9636,0.4336,-1.0483, 0.0000, 0.2253
 -2.000,-0.2090, 0.00651, 0.00203,-0.0052,0.9202,0.5514,-0.7570, 0.0000, 0.2200
 -1.000,-0.1046, 0.00602, 0.00175,-0.0026,0.8532,0.6614,-0.5548, 0.0000, 0.2204
  0.000,-0.0000, 0.00586, 0.00167, 0.0000,0.7650,0.7650,-0.4147, 0.0000, 0.4480
  1.000, 0.1046, 0.00602, 0.00175, 0.0026,0.6614,0.8532,-0.5548, 0.0000, 0.2204
  2.000, 0.2090, 0.00651, 0.00203, 0.0052,0.5514,0.9202,-0.7570, 0.0000, 0.2200
  3.000, 0.3196, 0.00732, 0.00245, 0.0062,0.4336,0.9636,-1.0483, 0.0000, 0.2253
  4.000, 0.4590, 0.00844, 0.00305, 0.0001,0.2999,0.9818,-1.4860, 0.0000, 0.2442
  5.000, 0.6029, 0.00981, 0.00381,-0.0075,0.1693,0.9939,-2.0440, 0.0000, 0.2565
  6.000, 0.7269, 0.01118, 0.00479,-0.0112,0.0906,1.0000,-2.6626, 0.0000, 0.2587
  7.000, 0.8097, 0.01252, 0.00598,-0.0060,0.0585,1.0000,-3.2246, 0.0000, 0.2498
  8.000, 0.8921, 0.01397, 0.00750,-0.0007,0.0440,1.0000,-3.9024, 0.0000, 0.2421
  9.000, 0.9732, 0.01582, 0.00942, 0.0046,0.0344,1.0000,-4.6081, 0.0000, 0.2355
 10.000, 1.0467, 0.01880, 0.01261, 0.0104,0.0269,1.0000,-5.2788, 0.0000, 0.2291
 11.000, 1.1274, 0.02107, 0.01514, 0.0146,0.0246,1.0000,-6.0423, 0.0000, 0.2247
 12.000, 1.1946, 0.02407, 0.01843, 0.0199,0.0219,1.0000,-6.7737, 0.0000, 0.2195
 13.000, 1.2019, 0.03106, 0.02592, 0.0302,0.0188,1.0000,-7.2527, 0.0000, 0.2095
 14.000, 1.2352, 0.03668, 0.03193, 0.0331,0.0177,1.0000,-7.9657, 0.0000, 0.2060
 15.000, 1.2270, 0.04905, 0.04487, 0.0308,0.0167,1.0000,-8.3152, 0.0000, 0.2056
 16.000, 1.1780, 0.07026, 0.06671, 0.0203,0.0163,1.0000,-8.2511, 0.0000, 0.2112
 17.000, 1.0672, 0.10617, 0.10333,-0.0001,0.0164,1.0000,-7.4344, 0.0000, 0.2264


