alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-2,0,-0.19875,0.001797,0.006344,0.008141,0,0,-0.035424,0,0,38,0.1559
-1,0,-0.115617,0.000644,0.005999,0.006643,0,0,-0.019726,0,0,38,0.1582
0,0,-0.032442,0.000085,0.005851,0.005936,0,0,-0.003987,0,0,38,0.1724
1,0,0.05072,0.00012,0.005873,0.005993,0,0,0.011778,0,0,38,0.1402
2,0,0.133812,0.000747,0.006073,0.006821,0,0,0.027551,0,0,38,0.148
3,0,0.216777,0.001962,0.006458,0.008421,0,0,0.043314,0,0,38,0.1498
4,0,0.29956,0.00376,0.007006,0.010766,0,0,0.059049,0,0,38,0.1505
5,0,0.382106,0.006132,0.007671,0.013803,0,0,0.074739,0,0,38,0.1509
6,0,0.464358,0.00907,0.008385,0.017455,0,0,0.090365,0,0,38,0.151
7,0,0.546263,0.012564,0.009129,0.021693,0,0,0.105907,0,0,38,0.1511
8,0,0.627767,0.016599,0.009906,0.026504,0,0,0.121347,0,0,38,0.151
9,0,0.708817,0.021162,0.010731,0.031893,0,0,0.136667,0,0,38,0.1509
10,0,0.78936,0.026238,0.011725,0.037963,0,0,0.151852,0,0,38,0.1508
11,0,0.869345,0.031808,0.012938,0.044746,0,0,0.166887,0,0,38,0.1506
12,0,0.948721,0.037853,0.014404,0.052257,0,0,0.181758,0,0,38,0.1503
13,0,1.027441,0.044354,0.016336,0.06069,0,0,0.196456,0,0,38,0.1501
14,0,1.105456,0.051288,0.018477,0.069766,0,0,0.210959,0,0,38,0.1497
