xflr5 v6.54

Plane name :, NACA0012_problem2
Polar name :, T1-38.0 m/s-Panel_2
Freestream speed :, 38.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.198750,   0.001797,   0.006344,   0.008141,  -0.000000,  -0.000000,  -0.035424,  -0.000000,  -0.000000,   38.0000,    0.0027
   -1.000,     0.000,  -0.115618,   0.000644,   0.005999,   0.006643,  -0.000000,  -0.000000,  -0.019727,  -0.000000,  -0.000000,   38.0000,    0.0050
    0.000,     0.000,  -0.032442,   0.000085,   0.005851,   0.005936,  -0.000000,  -0.000000,  -0.003987,  -0.000000,  -0.000000,   38.0000,    0.0189
    1.000,     0.000,   0.050720,   0.000120,   0.005873,   0.005993,  -0.000000,  -0.000000,   0.011778,  -0.000000,  -0.000000,   38.0000,   -0.0129
    2.000,     0.000,   0.133812,   0.000747,   0.006073,   0.006821,   0.000000,   0.000000,   0.027551,  -0.000000,  -0.000000,   38.0000,   -0.0053
    3.000,     0.000,   0.216777,   0.001962,   0.006458,   0.008421,   0.000000,   0.000000,   0.043314,  -0.000000,  -0.000000,   38.0000,   -0.0036
    4.000,     0.000,   0.299561,   0.003760,   0.007006,   0.010766,   0.000000,   0.000000,   0.059049,  -0.000000,  -0.000000,   38.0000,   -0.0029
    5.000,     0.000,   0.382106,   0.006132,   0.007671,   0.013803,   0.000000,   0.000000,   0.074739,  -0.000000,  -0.000000,   38.0000,   -0.0025
    6.000,     0.000,   0.464359,   0.009070,   0.008385,   0.017455,   0.000000,   0.000000,   0.090365,  -0.000000,  -0.000000,   38.0000,   -0.0024
    7.000,     0.000,   0.546264,   0.012564,   0.009129,   0.021693,   0.000000,   0.000000,   0.105907,  -0.000000,  -0.000000,   38.0000,   -0.0024
    8.000,     0.000,   0.627768,   0.016599,   0.009906,   0.026504,   0.000000,   0.000000,   0.121347,  -0.000000,  -0.000000,   38.0000,   -0.0025
    9.000,     0.000,   0.708817,   0.021162,   0.010731,   0.031893,   0.000000,   0.000000,   0.136667,  -0.000000,  -0.000000,   38.0000,   -0.0026
   10.000,     0.000,   0.789360,   0.026238,   0.011725,   0.037963,   0.000000,   0.000000,   0.151852,  -0.000000,  -0.000000,   38.0000,   -0.0028
   11.000,     0.000,   0.869345,   0.031808,   0.012938,   0.044746,   0.000000,   0.000000,   0.166887,  -0.000000,  -0.000000,   38.0000,   -0.0030
   12.000,     0.000,   0.948722,   0.037853,   0.014404,   0.052257,   0.000000,   0.000000,   0.181758,  -0.000000,  -0.000000,   38.0000,   -0.0033
   13.000,     0.000,   1.027442,   0.044354,   0.016336,   0.060690,   0.000000,   0.000000,   0.196456,  -0.000000,  -0.000000,   38.0000,   -0.0036
   14.000,     0.000,   1.105457,   0.051288,   0.018477,   0.069766,   0.000000,   0.000000,   0.210959,  -0.000000,  -0.000000,   38.0000,   -0.0039


