xflr5 v6.54

Plane name :, NACA0012_problem3
Polar name :, T1-38.0 m/s-Panel
Freestream speed :, 38.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.238559,   0.002201,   0.007358,   0.009558,  -0.000000,  -0.000000,   0.016147,   0.000000,   0.000000,   38.0000,    0.2095
   -1.000,     0.000,  -0.151247,   0.000939,   0.006897,   0.007836,  -0.000000,  -0.000000,   0.011937,   0.000000,   0.000000,   38.0000,    0.2137
    0.000,     0.000,  -0.064191,   0.000244,   0.006638,   0.006882,  -0.000000,  -0.000000,   0.007820,   0.000000,   0.000000,   38.0000,    0.2282
    1.000,     0.000,   0.022553,   0.000098,   0.006574,   0.006673,  -0.000000,  -0.000000,   0.003795,   0.000000,   0.000000,   38.0000,    0.1339
    2.000,     0.000,   0.108931,   0.000484,   0.006722,   0.007206,   0.000000,   0.000000,  -0.000128,  -0.000000,  -0.000000,   38.0000,    0.1898
    3.000,     0.000,   0.194889,   0.001383,   0.007071,   0.008454,   0.000000,   0.000000,  -0.003948,  -0.000000,  -0.000000,   38.0000,    0.1965
    4.000,     0.000,   0.280375,   0.002772,   0.007611,   0.010383,   0.000000,   0.000000,  -0.007663,  -0.000000,  -0.000000,   38.0000,    0.1992
    5.000,     0.000,   0.365337,   0.004629,   0.008288,   0.012917,   0.000000,   0.000000,  -0.011265,  -0.000000,  -0.000000,   38.0000,    0.2008
    6.000,     0.000,   0.449725,   0.006930,   0.009025,   0.015956,   0.000000,   0.000000,  -0.014747,  -0.000000,  -0.000000,   38.0000,    0.2018
    7.000,     0.000,   0.533492,   0.009650,   0.009805,   0.019455,   0.000000,   0.000000,  -0.018109,  -0.000000,  -0.000000,   38.0000,    0.2025
    8.000,     0.000,   0.616589,   0.012762,   0.010614,   0.023376,   0.000000,   0.000000,  -0.021345,  -0.000000,  -0.000000,   38.0000,    0.2031
    9.000,     0.000,   0.698973,   0.016237,   0.011448,   0.027685,   0.000000,   0.000000,  -0.024451,  -0.000000,  -0.000000,   38.0000,    0.2035
   10.000,     0.000,   0.780599,   0.020047,   0.012433,   0.032480,   0.000000,   0.000000,  -0.027429,  -0.000000,  -0.000000,   38.0000,    0.2039
   11.000,     0.000,   0.861426,   0.024161,   0.013637,   0.037799,   0.000001,   0.000000,  -0.030275,  -0.000000,  -0.000000,   38.0000,    0.2041
   12.000,     0.000,   0.941413,   0.028549,   0.015037,   0.043586,   0.000001,   0.000000,  -0.032988,  -0.000000,  -0.000000,   38.0000,    0.2043
   13.000,     0.000,   1.020522,   0.033179,   0.016980,   0.050158,   0.000001,   0.000000,  -0.035572,  -0.000000,  -0.000000,   38.0000,    0.2045


