alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-5,-0.0759,0.01025,0.00422,-0.1065,0.8818,0.0491,-2.5018,0,-1.1898
-4,0.0344,0.00933,0.00322,-0.1059,0.8488,0.0702,-1.9073,0,3.3859
-3,0.1447,0.00863,0.00248,-0.1053,0.8078,0.1093,-1.3776,0,0.9871
-2,0.2552,0.00817,0.00208,-0.1048,0.7628,0.1789,-0.9519,0,0.6636
0,0.469,0.00701,0.00193,-0.103,0.6566,0.6555,-0.7716,0,0.4682
1,0.5905,0.00668,0.00211,-0.1042,0.6044,1,-0.8686,0,0.4239
2,0.6949,0.00719,0.00231,-0.1027,0.5599,1,-0.9646,0,0.3941
3,0.8014,0.00771,0.00265,-0.1016,0.5237,1,-1.0756,0,0.3721
4,0.908,0.00828,0.00311,-0.1006,0.4923,1,-1.2105,0,0.3551
5,1.0131,0.00892,0.00365,-0.0995,0.4591,1,-1.4759,0,0.3413
6,1.1159,0.00963,0.00431,-0.098,0.4166,1,-1.8799,0,0.3297
7,1.2142,0.01056,0.00509,-0.0958,0.3591,1,-2.3855,0,0.3196
8,1.2987,0.01234,0.00646,-0.0916,0.2629,1,-2.9451,0,0.3098
9,1.3614,0.01529,0.00875,-0.0842,0.1427,1,-3.5068,0,0.2997
10,1.4056,0.01866,0.01173,-0.0741,0.0699,1,-4.0289,0,0.2891
11,1.4512,0.02221,0.01527,-0.0657,0.0447,1,-4.5717,0,0.28
12,1.488,0.02681,0.02004,-0.058,0.0338,1,-5.1887,0,0.272
13,1.5033,0.03396,0.02747,-0.0509,0.0267,1,-5.7107,0,0.2649
14,1.5292,0.04116,0.03498,-0.0471,0.0234,1,-6.3201,0,0.2598
15,1.5218,0.05289,0.04704,-0.0444,0.0201,1,-6.7295,0,0.2561
16,1.4993,0.06774,0.06236,-0.0441,0.0184,1,-7.0166,0,0.2541
17,1.4893,0.08202,0.07705,-0.0457,0.0172,1,-7.3811,0,0.253
18,1.4703,0.09807,0.09351,-0.0488,0.0161,1,-7.6635,0,0.2532
