xflr5 v6.54

Plane name :, Plane Name
Polar name :, T1-38.0 m/s-Panel
Freestream speed :, 38.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.196413,   0.001760,   0.006315,   0.008075,  -0.000000,  -0.000000,  -0.036186,  -0.000000,  -0.000000,   38.0000,    0.1573
   -1.500,     0.000,  -0.155365,   0.001124,   0.006125,   0.007248,  -0.000000,  -0.000000,  -0.028175,  -0.000000,  -0.000000,   38.0000,    0.1582
   -1.000,     0.000,  -0.114300,   0.000632,   0.005978,   0.006610,  -0.000000,  -0.000000,  -0.020151,  -0.000000,  -0.000000,   38.0000,    0.1598
   -0.500,     0.000,  -0.073224,   0.000286,   0.005877,   0.006163,  -0.000000,  -0.000000,  -0.012116,  -0.000000,  -0.000000,   38.0000,    0.1631
    0.000,     0.000,  -0.032145,   0.000085,   0.005823,   0.005908,  -0.000000,  -0.000000,  -0.004072,  -0.000000,  -0.000000,   38.0000,    0.1747
    0.500,     0.000,   0.008932,   0.000029,   0.005807,   0.005835,  -0.000000,  -0.000000,   0.003978,  -0.000000,  -0.000000,   38.0000,    0.0798
    1.000,     0.000,   0.049998,   0.000117,   0.005840,   0.005958,  -0.000000,  -0.000000,   0.012032,  -0.000000,  -0.000000,   38.0000,    0.1408
    1.500,     0.000,   0.091046,   0.000351,   0.005913,   0.006264,  -0.000000,  -0.000000,   0.020089,   0.000000,  -0.000000,   38.0000,    0.1468
    2.000,     0.000,   0.132071,   0.000729,   0.006032,   0.006760,  -0.000000,  -0.000000,   0.028145,   0.000000,   0.000000,   38.0000,    0.1490
    2.500,     0.000,   0.173065,   0.001250,   0.006207,   0.007457,  -0.000000,  -0.000000,   0.036199,   0.000000,   0.000000,   38.0000,    0.1502
    3.000,     0.000,   0.214021,   0.001915,   0.006420,   0.008335,  -0.000000,  -0.000000,   0.044248,   0.000000,   0.000000,   38.0000,    0.1509
    3.500,     0.000,   0.254932,   0.002721,   0.006674,   0.009395,  -0.000000,  -0.000000,   0.052290,   0.000000,   0.000000,   38.0000,    0.1513
    4.000,     0.000,   0.295792,   0.003669,   0.006963,   0.010633,  -0.000000,  -0.000000,   0.060322,   0.000000,   0.000000,   38.0000,    0.1517
    4.500,     0.000,   0.336594,   0.004758,   0.007282,   0.012040,   0.000000,  -0.000000,   0.068343,   0.000000,   0.000000,   38.0000,    0.1519
    5.000,     0.000,   0.377330,   0.005986,   0.007611,   0.013597,   0.000000,  -0.000000,   0.076350,   0.000000,   0.000000,   38.0000,    0.1520
    5.500,     0.000,   0.417995,   0.007352,   0.007954,   0.015306,   0.000000,  -0.000000,   0.084341,   0.000000,   0.000000,   38.0000,    0.1521
    6.000,     0.000,   0.458581,   0.008856,   0.008305,   0.017161,   0.000000,  -0.000000,   0.092312,   0.000000,   0.000000,   38.0000,    0.1522
    6.500,     0.000,   0.499082,   0.010495,   0.008667,   0.019161,   0.000000,  -0.000000,   0.100263,   0.000000,   0.000000,   38.0000,    0.1523
    7.000,     0.000,   0.539491,   0.012267,   0.009045,   0.021313,   0.000000,  -0.000000,   0.108189,   0.000000,   0.000000,   38.0000,    0.1523
    7.500,     0.000,   0.579801,   0.014173,   0.009423,   0.023595,   0.000000,  -0.000000,   0.116090,   0.000000,   0.000000,   38.0000,    0.1523
    8.000,     0.000,   0.620007,   0.016209,   0.009800,   0.026009,   0.000000,  -0.000000,   0.123962,   0.000000,   0.000000,   38.0000,    0.1522
    8.500,     0.000,   0.660101,   0.018374,   0.010181,   0.028556,   0.000000,  -0.000000,   0.131803,   0.000000,   0.000000,   38.0000,    0.1522
    9.000,     0.000,   0.700077,   0.020667,   0.010587,   0.031254,   0.000000,  -0.000000,   0.139611,   0.000000,   0.000000,   38.0000,    0.1521
    9.500,     0.000,   0.739929,   0.023084,   0.011047,   0.034131,   0.000000,  -0.000000,   0.147384,   0.000000,   0.000000,   38.0000,    0.1521
   10.000,     0.000,   0.779651,   0.025625,   0.011589,   0.037214,   0.000000,  -0.000000,   0.155122,   0.000000,   0.000000,   38.0000,    0.1520
   10.500,     0.000,   0.819235,   0.028286,   0.012194,   0.040480,   0.000000,  -0.000000,   0.162823,   0.000000,   0.000000,   38.0000,    0.1519
   11.000,     0.000,   0.858676,   0.031066,   0.012792,   0.043858,   0.000000,  -0.000000,   0.170480,   0.000000,   0.000000,   38.0000,    0.1518
   11.500,     0.000,   0.897968,   0.033962,   0.013486,   0.047449,   0.000000,  -0.000000,   0.178097,   0.000000,   0.000000,   38.0000,    0.1517
   12.000,     0.000,   0.937105,   0.036972,   0.014160,   0.051132,   0.000000,  -0.000000,   0.185667,   0.000000,   0.000000,   38.0000,    0.1515
   12.500,     0.000,   0.976080,   0.040093,   0.015056,   0.055149,   0.000000,  -0.000000,   0.193196,   0.000000,   0.000000,   38.0000,    0.1514
   13.000,     0.000,   1.014888,   0.043323,   0.016011,   0.059334,   0.000000,  -0.000000,   0.200677,   0.000000,   0.000000,   38.0000,    0.1513
   13.500,     0.000,   1.053523,   0.046659,   0.016889,   0.063548,   0.000000,  -0.000000,   0.208102,   0.000000,   0.000000,   38.0000,    0.1511
   14.000,     0.000,   1.091980,   0.050098,   0.017876,   0.067974,   0.000000,  -0.000000,   0.215477,   0.000000,   0.000000,   38.0000,    0.1510


